Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"INIConfiguration$GlobalSectionNodeModel",2,0.00,2.50,5,0.55,72575.93,2,0,23,2,0,77.38,14,12,17.00
"INIConfiguration$GlobalSectionNodeModel$NodeHandlerDecorator<ImmutableNode>",7,0.00,1.43,30,0.39,13727.89,7,0,23,7,0,168.88,10,67,9.00
"ImmutableConfiguration",48,0.00,1.00,49,41.57,2467358.71,48,0,6,48,14,94.70,569,53,0.00
"ImmutableConfigurationInvocationHandler",3,0.50,2.00,14,0.13,3500.21,4,1,4,3,2,117.68,47,34,8.00
"ImmutableConfigurationInvocationHandler$ImmutableIterator",4,0.33,1.00,10,0.08,951.59,5,1,4,4,0,108.19,23,24,2.00
"ImmutableHierarchicalConfiguration",7,0.00,1.00,8,0.53,11152.12,7,0,2,7,8,126.01,100,12,0.00
"Initializable",1,0.00,1.00,2,0.01,40.30,1,0,0,1,3,114.68,6,4,0.00
"InputStreamSupport",1,0.00,1.00,2,0.02,108.55,1,0,3,1,3,95.41,8,4,0.00
"InterpolationTestHelper",11,0.00,1.45,96,1.35,36522.84,11,0,7,11,10,70.50,71,151,12.00
"InterpolationTestHelper$Lookup",1,0.00,1.00,3,0.02,211.54,1,0,7,1,0,134.66,0,8,2.00
"InterpolatorSpecification",5,0.19,1.00,18,0.15,2279.25,9,4,6,5,9,101.48,66,34,0.00
"InterpolatorSpecification$Builder",10,0.00,1.60,52,0.38,7310.15,14,4,6,10,3,72.06,84,81,8.00
"JNDIConfiguration",19,0.14,2.21,120,1.50,61508.58,23,4,16,20,7,63.89,158,254,20.00
"JndiBuilderParameters",0,0.00,0.00,1,0.01,108.00,0,0,3,0,5,171.00,0,5,0.00
"JndiBuilderParametersImpl",2,0.00,1.00,9,0.07,761.65,4,2,1,2,5,85.00,23,18,3.00
"JndiBuilderProperties",2,0.00,1.00,3,0.05,531.41,2,0,1,2,2,107.31,13,5,0.00
"LegacyListDelimiterHandler",9,0.06,2.67,76,0.96,53810.69,13,4,6,9,8,63.24,101,143,28.00
"ListDelimiterHandler",4,1.00,1.00,6,0.08,1283.25,5,1,2,5,32,121.94,55,7,0.00
"ListDelimiterHandler$ValueTransformer",1,0.00,1.00,3,0.01,179.38,1,0,2,1,0,135.22,0,8,2.00
"LockMode",0,0.00,0.00,1,0.00,11.61,0,0,0,0,8,171.00,27,5,0.00
"Logging",15,0.02,1.00,44,0.42,4203.60,18,3,6,15,0,86.79,117,97,10.00
"Lookup",1,0.00,1.00,2,0.01,58.06,1,0,0,1,26,97.17,10,4,0.00
"ManagedReloadingDetector",3,0.25,1.00,10,0.07,693.72,5,2,2,4,3,82.87,26,22,1.00
"ManagedReloadingDetectorMBean",1,0.00,1.00,2,0.01,40.30,1,0,0,1,1,167.51,3,4,0.00
"MapConfiguration",14,0.12,1.29,50,0.60,18752.58,16,2,7,14,14,75.46,126,108,14.00
"MockInitialContextFactory",8,0.10,1.62,70,1.11,55819.54,17,9,9,8,1,56.38,79,113,24.00
"MultiFileBuilderParameters",0,0.00,0.00,1,0.01,108.00,0,0,3,0,5,171.00,0,6,0.00
"MultiFileBuilderParametersImpl",8,0.10,1.12,29,0.28,5997.36,11,3,4,8,11,77.83,77,61,10.00
"MultiFileBuilderProperties",2,0.00,1.00,3,0.05,588.34,2,0,1,2,3,102.47,14,5,0.00
"MultiFileConfigurationBuilder",21,0.09,1.67,116,1.54,48521.10,27,6,21,26,20,73.70,236,243,17.00
"MultiFileConfigurationBuilder$EventListener<ConfigurationBuilderEvent>",1,0.00,1.00,3,0.01,131.17,1,0,21,1,1,136.29,0,8,1.00
"MultiFileConfigurationBuilderProvider",4,0.11,1.25,18,0.28,7790.70,7,3,13,4,14,107.61,59,53,13.00
