Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, LCOM2, MAXCC, R-R, NSUB, NSUP, NCO, FOUT, DIT, CCOM, COH, S-R, Superclass, MINC, EXT, INTR, MPC, HVOL, HIER, HLTH, SIX, TCC, NQU, F-IN, MOD, LMC
"TestMergeCombiner",9,0.00,1.00,55,0.89,19447.60,9,0,9,9,10,111.13,38,112,8.00,9.00,1,0.50,0,1,7,10,2,10,0.00,0.00,org.apache.commons.configuration2.tree.AbstractCombinerTest,115.19,0,0,0,2675.88,4,525,0.15,9,2,0,1,1
"TestMultiFileBuilderParametersImpl",8,0.14,1.00,42,0.61,14405.84,9,1,13,8,4,126.01,29,86,12.00,0.00,1,0.00,0,0,8,4,1,8,0.88,0.00,java.lang.Object,118.27,0,0,0,1832.30,5,378,0.00,8,0,0,1,0
"TestMultiFileConfigurationBuilder",18,0.00,1.11,156,2.68,84024.93,18,0,35,18,25,102.81,76,298,27.00,70.00,3,0.50,0,1,16,25,2,19,0.00,0.00,org.apache.commons.configuration2.builder.combined.AbstractMultiFileConfigurationBuilderTest,106.87,0,0,0,8052.73,10,1522,0.00,20,2,0,1,2
"TestMultiFileConfigurationBuilder$MultiFileConfigurationBuilder<XMLConfiguration>",1,0.00,1.00,5,0.08,2120.04,1,0,35,1,3,118.50,0,16,9.00,1.00,1,0.00,0,0,0,3,1,0,0.00,0.00,java.lang.Object,118.50,0,0,0,235.56,1,49,0.00,1,1,0,2,0
"TestMultiWrapDynaBean",14,0.02,1.14,74,0.98,21669.04,18,4,15,14,5,118.88,56,131,13.00,58.00,2,0.00,0,0,13,5,1,15,0.27,0.00,java.lang.Object,118.65,0,0,0,2939.01,3,612,0.00,16,1,0,1,1
"TestMultiWrapDynaBean$WrappedBeanTestImpl",6,0.07,1.00,16,0.14,2009.85,9,3,15,7,0,185.00,6,31,3.00,18.00,1,0.00,0,0,3,0,1,1,0.28,0.00,java.lang.Object,135.00,1,0,1,412.81,0,112,0.00,6,3,0,2,0
"TestNodeAddData",5,0.50,1.00,22,0.37,7268.72,8,3,7,5,2,110.84,23,49,10.00,0.00,1,0.00,0,0,5,2,1,5,0.73,0.00,java.lang.Object,121.86,0,0,0,1096.38,2,231,0.00,5,0,0,1,0
"TestNodeHandlerDecorator",1,0.00,1.00,4,0.07,2271.61,1,0,0,1,5,77.75,11,8,8.00,1.00,1,0.50,0,1,0,5,2,2,0.00,0.00,org.apache.commons.configuration2.tree.AbstractImmutableNodeHandlerTest,121.88,0,0,0,217.59,0,51,0.00,1,1,0,1,0
"TestNodeHandlerDecorator$NodeHandlerDecorator<ImmutableNode>",1,0.00,1.00,3,0.02,281.30,1,0,0,1,2,133.69,0,8,3.00,1.00,1,0.00,0,0,0,2,1,0,0.00,0.00,java.lang.Object,133.69,0,0,0,62.51,0,16,0.00,1,1,0,2,0
"TestNodeNameMatchers",9,0.12,1.00,30,0.43,7961.01,11,2,5,9,5,128.30,36,70,8.00,0.00,1,0.00,0,0,8,5,1,9,0.61,0.00,java.lang.Object,128.06,0,0,0,1297.77,2,296,0.00,9,1,0,1,2
"TestNodeSelector",14,0.33,1.00,83,1.27,30853.81,18,4,12,14,8,117.25,55,146,22.00,0.00,1,0.00,0,0,13,8,1,14,0.55,0.00,java.lang.Object,115.61,0,0,0,3801.19,5,785,0.00,14,1,0,1,1
"TestNodeTreeWalker",14,0.00,1.43,94,1.23,51340.91,14,0,5,14,6,105.16,61,149,19.00,14.00,4,0.00,0,0,8,6,1,15,0.00,0.00,java.lang.Object,111.75,0,0,0,3704.55,1,768,0.00,20,6,0,1,6
"TestNodeTreeWalker$TestVisitor",6,0.10,1.00,15,0.17,2527.64,8,2,5,7,3,135.49,24,35,5.00,2.00,1,0.00,0,0,3,3,1,4,0.42,0.00,java.lang.Object,135.26,1,1,1,516.99,1,129,0.00,6,3,0,2,1
"TestNodeUpdateData",8,0.00,1.00,47,0.89,25078.61,8,0,7,8,2,112.36,33,86,16.00,8.00,1,0.00,0,0,7,2,1,9,0.00,0.00,java.lang.Object,114.55,0,0,0,2674.04,2,541,0.00,8,1,0,1,1
"TestNonStringProperties",1,0.00,1.00,9,0.09,1798.95,2,1,2,3,4,77.32,6,14,9.00,0.00,1,0.50,0,1,1,4,2,1,1.00,0.00,org.apache.commons.configuration2.BaseNonStringProperties,109.54,2,0,2,276.41,0,63,0.00,1,0,0,1,0
"TestNullCompositeConfiguration",24,0.21,1.33,249,3.12,96740.10,31,7,14,26,10,145.65,46,324,19.00,0.00,4,0.00,0,0,24,10,1,20,0.35,0.00,java.lang.Object,104.40,2,0,2,9371.64,5,1880,0.00,32,0,0,1,0
"TestNullJNDIEnvironmentValues",13,0.00,1.23,52,0.64,12725.83,14,1,8,13,2,158.92,3,99,10.00,0.00,2,0.00,0,0,13,2,1,3,1.00,0.00,java.lang.Object,124.71,0,0,0,1917.59,5,425,0.00,16,0,0,1,0
"TestOverrideCombiner",10,0.00,1.00,70,1.04,27425.44,10,0,10,10,11,95.96,49,123,9.00,18.00,1,0.50,0,1,8,11,2,11,0.00,0.00,org.apache.commons.configuration2.tree.AbstractCombinerTest,112.17,0,0,0,3134.73,4,618,0.14,10,2,0,1,1
"TestParameters",24,0.26,1.04,129,2.39,61142.63,26,2,22,24,15,114.50,99,268,35.00,46.00,2,0.00,0,0,23,15,1,24,0.25,0.00,java.lang.Object,116.69,0,0,0,7168.15,4,1397,0.00,25,1,0,1,4
"TestParameters$IAnswer<Object>",1,0.00,1.00,4,0.03,439.66,1,0,22,1,0,127.50,0,9,6.00,1.00,1,0.00,0,0,0,0,1,0,0.00,0.00,java.lang.Object,127.50,0,0,0,97.70,0,23,0.00,1,1,0,2,0
"TestPatternSubtreeConfiguration",4,0.33,1.00,24,0.34,7788.62,7,3,9,5,9,116.08,16,40,12.00,0.00,1,0.00,0,0,4,9,1,4,0.58,0.00,java.lang.Object,115.84,1,0,1,1008.35,1,213,0.00,4,0,0,1,0
"TestPeriodicReloadingTrigger",13,0.28,1.08,71,0.98,22374.38,18,5,11,13,2,116.50,53,117,15.00,0.00,2,0.00,0,0,11,2,1,13,0.46,0.00,java.lang.Object,117.77,0,0,0,2954.31,3,605,0.00,14,2,0,1,3
"TestPeriodicReloadingTrigger$IAnswer<ScheduledFuture<Void>>",1,0.00,1.00,4,0.04,696.63,1,0,11,1,0,125.92,0,10,8.00,1.00,1,0.00,0,0,0,0,1,0,0.00,0.00,java.lang.Object,125.92,0,0,0,126.66,0,28,0.00,1,1,0,2,0
"TestPropertiesBuilderParametersImpl",7,0.00,1.00,42,0.73,18656.86,8,1,11,7,7,123.60,25,84,14.00,0.00,1,0.00,0,0,7,7,1,7,1.00,0.00,java.lang.Object,114.77,0,0,0,2188.29,3,430,0.00,7,0,0,1,0
"TestPropertiesConfiguration",83,0.03,1.25,571,8.10,217158.65,92,9,37,89,21,125.20,281,891,19.00,0.00,5,0.00,0,0,80,21,1,88,0.14,0.00,java.lang.Object,112.56,6,0,6,24295.53,10,4771,0.00,104,3,0,1,7
"TestPropertiesConfiguration$DefaultFileSystem",1,0.00,3.00,7,0.09,2468.36,1,0,37,1,1,112.07,0,22,11.00,1.00,3,0.00,0,0,0,1,1,0,0.00,0.00,java.lang.Object,112.07,0,0,0,272.48,1,55,0.00,3,1,0,2,0
"TestPropertiesConfiguration$DummyLayout",1,0.00,1.00,4,0.03,323.77,2,1,37,1,3,110.67,5,10,3.00,0.00,1,0.50,0,1,1,3,2,1,1.00,0.00,org.apache.commons.configuration2.PropertiesConfigurationLayout,128.54,0,0,0,93.23,0,25,0.00,1,0,0,1,0
"TestPropertiesConfiguration$MockHttpURLConnection",6,0.20,1.00,15,0.10,1026.84,8,2,37,6,0,188.34,6,34,3.00,10.00,1,0.50,0,1,3,0,2,1,0.33,0.00,java.net.HttpURLConnection,138.34,0,0,0,313.23,0,88,0.00,6,3,0,1,0
