Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"ConfigurationNodeVisitorAdapter",3,0.00,1.00,5,0.05,529.76,3,0,0,3,5,96.69,24,17,3.00
"ConfigurationPropertiesFactoryBean",14,0.08,1.43,51,0.45,12481.96,18,4,11,14,5,126.73,56,91,14.00
"ConfigurationPropertySource",4,0.00,1.25,13,0.15,3738.59,4,0,5,4,2,177.10,3,27,7.00
"ConfigurationRuntimeException",5,1.00,1.00,12,0.07,669.86,6,1,0,5,47,90.53,42,24,0.00
"ConfigurationUtils",24,0.16,2.08,124,1.61,54756.48,29,5,18,26,31,87.36,310,271,18.00
"ConfigurationUtils$EventListener<ConfigurationErrorEvent>",1,0.00,1.00,3,0.02,321.48,1,0,18,1,2,183.23,1,9,3.00
"ConfigurationUtils$EventSource",2,0.00,1.00,4,0.07,1181.15,2,0,18,2,2,137.72,0,14,7.00
"ConfigurationXMLReader",24,0.07,1.38,68,0.57,9378.04,30,6,10,25,2,93.22,162,155,12.00
"Configurations",38,0.97,1.00,78,0.93,14807.69,39,1,10,38,13,91.87,397,175,14.00
"ConstantLookup",4,0.00,2.25,32,0.36,14076.79,7,3,6,6,3,127.00,72,64,18.00
"ConstructorArg",11,0.17,1.27,39,0.35,8299.71,14,3,0,11,12,86.16,126,72,12.00
"ConversionException",4,1.00,1.00,10,0.05,384.40,5,1,0,4,9,90.80,34,20,0.00
"ConversionHandler",3,0.00,1.00,4,0.24,5295.24,3,0,3,3,11,136.79,47,7,0.00
"CopyObjectDefaultHandler",3,0.50,1.67,13,0.11,2023.47,4,1,2,3,8,142.72,54,32,7.00
"DataConfiguration",97,0.16,1.05,232,2.72,54819.02,102,5,16,98,7,91.06,1071,487,14.00
"DataConfiguration$DataConversionHandler",1,0.00,3.00,8,0.09,2143.34,1,0,16,1,1,128.52,18,18,6.00
"DatabaseBuilderParameters",0,0.00,0.00,1,0.01,108.00,0,0,3,0,7,171.00,0,5,0.00
"DatabaseBuilderParametersImpl",7,0.00,1.00,29,0.23,2634.42,14,7,1,7,5,139.22,24,54,5.00
"DatabaseBuilderProperties",7,0.00,1.00,8,0.50,8445.74,7,0,1,7,1,96.23,56,10,0.00
"DatabaseConfiguration",27,0.06,1.52,94,1.79,57579.70,39,12,18,27,10,77.06,280,186,15.00
"DatabaseConfiguration$JdbcOperation",7,0.17,1.71,49,0.48,12019.36,14,7,18,7,2,72.06,80,85,8.00
"DatabaseConfiguration$JdbcOperation<Boolean>",1,0.00,1.00,4,0.05,660.23,1,0,18,1,1,126.11,0,11,5.00
"DatabaseConfiguration$JdbcOperation<Collection<String>>",1,0.00,2.00,6,0.08,1655.26,1,0,18,1,1,116.17,0,15,8.00
"DatabaseConfiguration$JdbcOperation<Integer>",1,0.00,1.00,4,0.06,1244.26,1,0,18,1,1,123.94,0,11,8.00
"DatabaseConfiguration$JdbcOperation<Object>",1,0.00,4.00,14,0.18,7318.21,1,0,18,1,1,146.90,1,29,9.00
"DatabaseConfiguration$JdbcOperation<Void>",1,0.00,4.00,17,0.22,7370.62,1,0,18,1,2,93.73,0,30,9.00
"DatabaseConfiguration$JdbcOperation<Void>_0",1,0.00,1.00,5,0.05,710.51,1,0,18,1,2,122.24,0,12,5.00
"DatabaseConfiguration$JdbcOperation<Void>_1",1,0.00,1.00,4,0.04,432.19,1,0,18,1,2,127.56,0,11,5.00
"DatabaseConfigurationTestHelper",13,0.03,1.31,61,0.70,12973.04,26,13,16,13,10,72.07,119,118,19.00
"DefaultBeanFactory",15,0.26,1.67,79,1.02,33998.07,18,3,8,16,12,70.52,157,146,15.00
"DefaultConfigurationKey",28,0.20,1.75,122,1.57,47891.16,31,3,3,28,8,73.19,224,272,28.00
"DefaultConfigurationKey$KeyIterator",20,0.03,1.80,102,1.08,37424.58,26,6,3,20,0,68.74,172,212,19.00
"DefaultConversionHandler",16,0.16,1.69,82,1.25,43166.26,21,5,7,18,17,84.52,202,155,27.00
"DefaultConversionHandler$ConfigurationInterpolator",1,0.00,1.00,3,0.01,179.38,1,0,7,1,0,135.22,0,8,2.00
"DefaultEntityResolver",3,1.00,2.33,22,0.26,8833.23,4,1,9,4,2,123.08,52,48,13.00
"DefaultExpressionEngine",13,0.22,2.23,79,1.37,54709.71,16,3,4,14,22,153.95,278,190,20.00
"DefaultExpressionEngineSymbols",11,0.05,1.18,46,0.56,12620.05,24,13,3,11,12,73.72,95,99,49.00
"DefaultExpressionEngineSymbols$Builder",9,0.06,1.00,35,0.21,2198.91,15,6,3,9,1,80.19,78,55,3.00
"DefaultFileSystem",9,0.00,3.78,86,1.06,47944.37,9,0,11,9,8,129.39,25,207,18.00
"DefaultFileSystem$HttpOutputStream",8,0.07,1.12,21,0.22,3720.06,10,2,11,8,1,184.10,8,49,11.00
"DefaultListDelimiterHandler",5,0.00,3.20,58,0.62,37483.83,8,3,4,5,36,91.67,76,92,39.00
"DefaultLookups",3,0.25,1.00,10,0.07,591.10,5,2,0,6,7,109.89,41,21,0.00
"DefaultParametersHandler",1,0.00,1.00,2,0.02,166.86,1,0,0,1,9,104.48,12,4,0.00
"DefaultParametersManager",6,0.40,2.00,30,0.29,7141.81,7,1,3,6,8,151.39,118,57,9.00
"DefaultParametersManager$DefaultHandlerData",3,0.83,1.33,14,0.18,3718.46,6,3,3,3,2,79.22,34,30,25.00
"DefaultReloadingDetectorFactory",1,0.00,1.00,4,0.06,1704.86,1,0,4,1,8,85.30,12,14,9.00
"DisabledListDelimiterHandler",3,1.00,1.00,10,0.11,2105.79,4,1,3,4,16,105.55,41,23,6.00
"DummyLookup",1,0.00,1.00,3,0.02,152.32,1,0,0,1,3,179.73,22,9,2.00
"DynamicCombinedConfiguration",84,0.08,1.25,295,3.13,58775.10,92,8,22,88,15,154.18,229,605,13.00
"DynamicCombinedConfiguration$ConfigData",4,0.11,1.00,14,0.07,656.07,7,3,22,4,1,88.90,29,24,0.00
"DynamicCombinedConfiguration$ConfigurationInterpolator",1,0.00,1.00,3,0.03,377.68,1,0,22,1,1,132.68,0,10,5.00
"DynamicCombinedConfiguration$CurrentConfigHolder",6,0.07,1.00,16,0.07,616.98,9,3,22,6,1,98.12,41,31,1.00
"EntityRegistry",2,0.00,1.00,3,0.05,545.36,2,0,2,2,0,124.88,28,5,0.00
"EntityResolverSupport",2,0.00,1.00,3,0.03,202.53,2,0,1,2,0,148.64,8,5,0.00
"EnvironmentConfiguration",4,0.00,1.00,9,0.08,890.30,4,0,1,4,3,96.48,45,22,4.00
"EnvironmentLookup",1,0.00,1.00,3,0.02,284.30,1,0,0,1,2,153.80,33,8,4.00
"ErrorListenerTestImpl",2,0.00,1.00,9,0.11,2357.98,2,0,1,2,7,75.60,21,18,12.00
"Event",4,0.00,1.25,22,0.24,4920.54,8,4,1,5,21,101.03,57,37,8.00
"EventListener",1,0.00,1.00,2,0.02,250.84,1,0,0,1,42,96.52,11,4,0.00
"EventListenerList",13,0.42,1.62,56,0.85,30437.54,14,1,9,13,11,73.33,135,111,17.00
"EventListenerList$EventListenerIterator",9,0.00,1.44,38,0.44,9371.41,13,4,9,9,4,98.81,49,79,13.00
"EventListenerList$Iterable<EventListener<?superT>>",1,0.00,1.00,3,0.03,367.87,1,0,9,1,1,132.77,0,8,3.00
"EventListenerParameters",5,0.25,1.00,14,0.13,2165.96,6,1,7,5,10,90.35,56,31,6.00
"EventListenerProvider",1,0.00,1.00,2,0.01,40.30,1,0,1,1,2,98.79,8,4,0.00
"EventListenerRegistrationData",5,0.17,1.80,26,0.28,8233.33,8,3,0,5,13,68.78,47,52,8.00
"EventListenerTestImpl",2,0.00,1.00,8,0.10,1699.22,2,0,1,2,13,78.63,21,15,8.00
"EventSource",2,0.00,1.00,3,0.13,2983.13,2,0,0,2,7,95.08,22,7,0.00
"EventType",6,0.05,1.50,28,0.29,8936.83,10,4,3,6,37,88.46,76,51,10.00
"ExprLookup",15,0.03,1.33,61,0.55,14880.47,25,10,11,16,5,75.06,126,108,9.00
"ExprLookup$StrLookup<String>",1,0.00,1.00,4,0.05,1123.34,1,0,11,1,0,124.29,0,9,4.00
"ExprLookup$StringLookup",1,0.00,1.00,4,0.05,1284.32,1,0,11,1,0,123.83,0,9,4.00
"ExprLookup$Variable",6,0.30,1.50,25,0.24,11670.53,8,2,11,6,1,171.64,6,51,2.00
"ExprLookup$Variables",3,1.00,1.33,10,0.06,773.11,4,1,11,3,0,109.09,16,23,1.00
"ExpressionEngine",5,0.00,1.00,6,0.64,16048.37,5,0,1,5,22,116.27,68,8,0.00
"FileBased",2,0.00,1.00,3,0.06,534.29,2,0,4,2,6,96.61,20,5,0.00
"FileBasedBuilderParameters",0,0.00,0.00,1,0.01,108.00,0,0,3,0,12,171.00,0,6,0.00
"FileBasedBuilderParametersImpl",21,0.10,1.33,82,0.82,21035.24,27,6,6,21,41,104.82,108,169,13.00
"FileBasedBuilderProperties",10,0.00,1.00,11,1.12,15127.18,10,0,4,10,12,105.40,66,13,0.00
"FileBasedConfiguration",0,0.00,0.00,1,0.00,11.61,0,0,1,0,13,171.00,0,3,0.00
"FileBasedConfigurationBuilder",18,0.12,1.83,94,0.98,34254.12,22,4,11,18,33,67.98,162,181,15.00
"FileExtensionConfigurationBuilderProvider",6,0.07,1.83,33,0.32,9287.76,9,3,4,6,6,92.98,81,63,22.00
"FileHandler",76,0.13,1.58,311,3.41,83444.60,82,6,23,78,71,74.24,651,650,17.00
"FileHandler$SynchronizerSupport",4,0.00,1.00,6,0.04,321.74,4,0,23,4,3,149.20,0,20,3.00
"FileHandler$Updater",1,0.00,1.00,4,0.03,300.83,1,0,23,1,0,128.80,0,9,4.00
"FileHandler$Updater_0",1,0.00,1.00,4,0.03,300.83,1,0,23,1,0,128.80,0,9,4.00
"FileHandler$Updater_1",1,0.00,1.00,3,0.03,359.43,1,0,23,1,0,132.85,0,8,5.00
"FileHandler$Updater_2",1,0.00,1.00,4,0.03,390.00,1,0,23,1,0,127.91,0,9,5.00
