Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"PatternSubtreeConfigurationWrapper",70,0.03,1.09,167,1.94,35631.91,75,5,12,71,10,176.19,26,401,14.00
"PatternSubtreeConfigurationWrapper$ThreadLocal<Boolean>",1,0.00,1.00,3,0.02,233.02,1,0,12,1,0,134.33,0,8,2.00
"PrefixedKeysIterator",5,0.38,1.80,27,0.20,3623.12,9,4,2,5,1,71.28,48,47,3.00
"PropertiesConfiguration",25,0.04,2.24,171,1.77,87677.85,40,15,15,27,38,107.40,391,307,21.00
"PropertiesConfiguration$DefaultIOFactory",2,0.00,1.00,5,0.04,524.23,2,0,15,2,0,91.17,15,12,5.00
"PropertiesConfiguration$IOFactory",2,0.00,1.00,3,0.05,351.91,2,0,15,2,0,102.39,22,5,0.00
"PropertiesConfiguration$PropertiesReader",14,0.01,1.43,68,0.64,16603.02,23,9,15,15,1,71.23,133,116,7.00
"PropertiesConfiguration$PropertiesWriter",17,0.14,1.76,95,1.09,46099.79,22,5,15,17,0,65.70,155,166,20.00
"PropertiesConfigurationLayout",34,0.03,2.00,200,2.40,104301.48,43,9,10,34,10,70.58,376,382,23.00
"PropertiesConfigurationLayout$PropertyLayoutData",11,0.05,1.45,38,0.29,6311.78,15,4,10,11,2,97.77,65,82,8.00
"PropertyConverter",30,0.08,3.87,282,4.56,311285.09,38,8,22,31,14,53.61,299,628,38.00
"PropertyListConfiguration",16,0.07,2.75,146,2.25,118126.48,27,11,21,19,9,54.09,145,269,32.00
"PropertyListConfiguration$DateComponentParser",4,0.00,1.25,9,0.14,3776.26,4,0,21,4,0,86.52,41,21,16.00
"PropertyListConfiguration$DateFieldParser",4,0.56,1.25,18,0.20,4506.21,7,3,21,4,0,96.75,22,39,7.00
"PropertyListConfiguration$DateSeparatorParser",3,0.00,1.33,11,0.13,3444.46,4,1,21,3,0,132.44,11,25,6.00
