Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"SqlNullCheckedResultSetMockRef",4,0.00,1.00,8,0.07,850.30,4,0,0,4,1,141.21,0,17,5.00
"SqlNullCheckedResultSetTest",43,0.02,1.19,441,5.99,219794.53,44,1,23,43,7,103.14,174,498,21.00
"SqlNullUncheckedMockResultSet",1,0.00,9.00,20,0.32,18197.02,1,0,0,1,1,87.09,4,26,53.00
"StatementConfiguration",11,0.02,1.00,32,0.17,2516.33,16,5,0,11,5,107.40,62,45,2.00
"StatementConfiguration$Builder",6,0.04,1.00,23,0.14,2712.77,11,5,0,6,1,172.86,3,30,5.00
"StatementConfigurationTest",3,0.00,1.00,28,0.45,11347.34,3,0,4,3,1,127.03,9,40,26.00
"StringColumnHandler",2,0.00,1.00,5,0.06,958.09,2,0,3,2,2,134.82,0,10,5.00
"StringColumnHandlerTest",2,0.00,1.00,6,0.08,949.43,2,0,5,2,2,131.90,0,11,7.00
"StringEnumPropertyHandler",2,0.00,1.00,5,0.08,1795.67,2,0,1,2,2,132.67,0,10,9.00
"StringEnumPropertyHandlerTest",3,0.00,1.00,9,0.09,1099.48,4,1,4,3,1,132.78,0,16,5.00
"StringTrimmedResultSet",3,0.25,1.33,13,0.17,5082.16,5,2,4,4,3,139.65,54,22,28.00
"StringTrimmedResultSetTest",4,0.00,1.00,19,0.23,3720.44,4,0,5,4,5,152.87,10,26,7.00
"TestBean",21,0.01,1.00,53,0.30,2850.69,31,10,0,22,5,188.70,24,75,0.00
"TestBean$Ordinal",0,0.00,0.00,1,0.00,11.61,0,0,0,0,0,171.00,0,3,0.00
"TestColumnHandler",2,0.00,1.00,5,0.04,495.72,2,0,3,2,2,137.07,0,10,3.00
"TestEnum",0,0.00,0.00,1,0.00,8.00,0,0,0,0,0,171.00,0,3,0.00
"TestPropertyHandler",2,0.00,1.00,5,0.05,670.41,2,0,1,2,3,136.04,0,10,4.00
"TimestampColumnHandler",2,0.00,1.00,5,0.06,958.09,2,0,4,2,2,134.82,0,10,5.00
"TimestampColumnHandlerTest",2,0.00,1.00,6,0.09,1310.10,2,0,7,2,2,130.79,0,11,50.00
System overview for No System Name
Name, No. Packages, NOS, AVCC, HBUG, HEFF, MI, CCML, NLOC
"No System Name",5,195635,1.28,61.28,1997548.38,79.03,32076,32912
