Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"AbstractTestOrderedMap$InnerTestOrderedMapIterator",9,0.00,1.00,22,0.15,1411.16,9,0,13,9,4,172.69,2,32,6.00
"AbstractTestOrderedMapIterator",6,0.00,2.67,68,0.86,34109.01,6,0,8,6,5,71.37,35,85,33.00
"AbstractTestSet",13,0.00,1.08,50,0.43,5959.37,13,0,6,13,12,94.82,79,71,9.00
"AbstractTestSortedBag",1,0.00,1.00,3,0.01,83.00,1,0,0,1,4,93.73,11,5,0.00
"AbstractTestSortedBidiMap",20,0.25,1.55,469,7.75,538777.99,23,3,14,22,7,126.94,37,486,47.00
"AbstractTestSortedMap",9,0.00,1.11,27,0.20,2446.95,9,0,8,9,8,156.68,26,35,13.00
"AbstractTestSortedMap$TestHeadMap",5,0.00,1.60,30,0.39,6872.33,7,2,8,5,1,153.29,11,35,7.00
"AbstractTestSortedMap$TestSubMap",5,0.25,1.60,34,0.53,13912.72,8,3,8,5,1,148.85,11,40,7.00
"AbstractTestSortedMap$TestTailMap",5,0.08,1.60,32,0.46,10251.16,8,3,8,5,1,150.87,11,37,7.00
"AbstractTestSortedMap$TestViewMap",16,0.08,1.00,41,0.24,2667.70,20,4,8,17,3,187.55,19,58,8.00
"AbstractTestSortedSet",10,0.00,1.50,54,0.50,15479.28,10,0,6,10,8,73.10,74,67,8.00
"AbstractTestSortedSet$TestSortedSetSubSet",15,0.05,1.13,72,0.71,22200.02,23,8,6,15,2,170.29,14,94,8.00
"AllPredicate",5,0.25,2.20,31,0.27,7615.47,7,2,3,5,6,72.90,56,40,7.00
"AndPredicate",4,0.22,1.25,16,0.13,2507.86,7,3,2,4,4,76.60,38,22,5.00
"AnyPredicate",5,0.25,2.20,30,0.26,6522.93,7,2,3,5,6,73.96,56,39,7.00
"ArrayHandler",3,0.00,1.00,11,0.10,1750.01,6,3,5,5,13,95.69,38,16,5.00
"ArrayHandlerTest",2,0.00,1.00,13,0.16,3703.45,2,0,6,2,3,161.68,3,16,9.00
"ArrayIterator",11,0.05,1.36,48,0.39,7928.15,15,4,3,11,7,78.32,117,70,4.00
"ArrayListHandler",3,1.00,1.00,9,0.07,849.20,4,1,3,3,4,84.34,29,14,4.00
"ArrayListHandlerTest",2,0.00,1.00,26,0.37,11753.79,2,0,5,2,3,146.50,3,29,12.00
"ArrayListIterator",12,0.73,1.25,37,0.34,5854.89,13,1,4,12,5,83.09,121,54,6.00
"ArrayStack",10,1.00,1.70,46,0.40,12695.78,11,1,2,10,12,71.68,94,68,6.00
"AsyncQueryRunner",23,0.09,1.00,52,1.73,44948.12,25,2,8,23,4,88.51,257,64,18.00
