Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, LCOM2, MAXCC, R-R, NSUB, NSUP, NCO, FOUT, DIT, CCOM, COH, S-R, Superclass, MINC, EXT, INTR, MPC, HVOL, HIER, HLTH, SIX, TCC, NQU, F-IN, MOD, LMC
"MapUtils$PredicatedMapEntrySet$Iterator",3,0.00,1.00,8,0.06,863.48,3,0,4,3,0,135.52,0,12,4.00,4.00,1,0.00,0,0,1,0,1,0,0.00,0.00,java.lang.Object,135.52,0,0,0,168.87,0,47,0.00,3,2,0,1,0
"MapUtils$PredicatedSortedMap",8,0.00,1.00,20,0.18,2681.77,8,0,4,8,1,136.04,0,31,7.00,8.00,1,0.50,0,1,1,1,2,0,0.00,0.00,org.apache.commons.collections.PredicatedMap,136.04,0,1,0,536.11,0,146,0.00,8,7,0,1,1
"MultiHashMap",13,0.38,1.69,70,0.71,19578.81,15,2,6,13,2,162.90,22,102,16.00,34.00,4,0.50,0,1,7,1,2,7,0.15,0.00,java.util.HashMap,118.31,0,1,0,2138.54,7,477,0.00,22,6,1,1,1
"MultiMap",1,0.00,1.00,2,0.02,208.76,1,0,1,1,1,141.27,0,3,0.00,1.00,1,0.50,0,1,0,0,2,0,0.00,0.00,,141.27,0,0,0,58.19,0,18,0.00,1,1,1,1,0
"NullComparator",7,0.06,2.00,28,0.33,9458.70,10,3,2,7,3,104.66,99,38,5.00,10.00,4,0.00,0,0,4,1,1,8,0.29,0.00,java.lang.Object,123.43,0,1,0,977.52,2,233,0.00,14,3,2,1,0
"Predicate",1,0.00,1.00,2,0.01,84.05,1,0,0,1,22,126.51,5,3,0.00,1.00,1,0.00,0,0,0,0,1,1,0.00,0.00,,144.39,0,0,0,35.22,0,12,0.00,1,1,22,1,0
"PriorityQueue",5,0.00,1.00,6,0.19,1978.27,5,0,1,5,2,117.68,29,8,0.00,5.00,1,0.00,0,0,2,0,1,30,0.00,0.00,,147.36,0,0,0,582.00,0,147,0.00,5,3,2,1,0
"ProxyIterator",2,0.00,1.00,5,0.03,188.85,2,0,1,2,1,90.74,19,9,0.00,2.00,1,0.50,0,1,2,1,2,3,0.00,0.00,org.apache.commons.collections.iterators.ProxyIterator,140.37,0,0,0,92.47,0,31,0.22,2,0,0,1,0
"ProxyIterator",7,1.00,1.00,15,0.08,890.77,8,1,1,7,2,104.78,45,23,2.00,12.00,1,0.00,6,0,4,0,1,12,0.14,6.00,java.lang.Object,141.85,0,1,0,244.01,0,79,0.00,7,3,2,1,1
"ProxyListIterator",13,1.00,1.00,27,0.16,1824.95,14,1,1,13,1,106.24,82,41,6.00,24.00,1,0.00,3,0,6,0,1,20,0.08,3.00,java.lang.Object,142.02,0,1,0,489.18,0,155,0.00,13,7,1,1,1
"ProxyListIterator",2,0.00,1.00,5,0.03,188.85,2,0,1,2,1,99.29,23,9,0.00,2.00,1,0.50,0,1,2,1,2,5,0.00,0.00,org.apache.commons.collections.iterators.ProxyListIterator,140.37,0,0,0,92.47,0,31,0.13,2,0,0,1,0
"ProxyMap",15,0.07,1.00,32,0.21,2755.01,16,1,3,15,3,132.05,67,48,9.00,0.00,1,0.00,3,0,3,0,1,16,0.93,3.00,java.lang.Object,140.67,0,1,0,637.48,0,195,0.00,15,12,3,2,0
"ReferenceMap",22,0.06,2.59,191,2.60,115396.79,37,15,18,23,4,62.49,244,216,18.00,154.00,6,0.50,0,1,10,0,2,29,0.12,0.00,java.util.AbstractMap,106.10,1,0,1,7794.34,1,1551,0.00,57,12,4,1,8
"ReferenceMap$AbstractCollection",3,0.00,1.00,7,0.03,298.19,3,0,18,3,1,141.31,0,11,2.00,4.00,1,0.00,0,0,1,1,1,0,0.00,0.00,java.lang.Object,141.31,0,0,0,92.20,0,30,0.00,3,2,0,1,1
"ReferenceMap$AbstractSet",7,0.00,1.57,28,0.31,8346.73,7,0,18,7,2,123.95,0,38,7.00,7.00,3,0.00,0,0,1,2,1,0,0.00,0.00,java.lang.Object,123.95,0,0,0,915.22,1,214,0.00,11,6,0,1,6
"ReferenceMap$AbstractSet_0",5,0.00,1.00,12,0.07,969.78,5,0,18,5,1,138.57,0,18,3.00,8.00,1,0.00,0,0,1,1,1,0,0.00,0.00,java.lang.Object,138.57,0,0,0,224.06,1,65,0.00,5,4,0,1,2
"ReferenceMap$Entry",8,0.04,2.00,40,0.48,15806.67,12,4,18,8,0,153.83,2,50,18.00,10.00,5,0.00,0,0,1,0,1,2,0.22,0.00,java.lang.Object,118.51,0,1,0,1431.49,1,332,0.00,16,7,0,1,2
"ReferenceMap$EntryIterator",7,0.29,2.00,53,0.42,10347.66,15,8,18,7,1,162.43,6,65,5.00,1.00,5,0.00,0,0,3,1,1,6,0.38,0.00,java.lang.Object,112.78,0,1,0,1248.12,1,275,0.00,14,4,0,1,5
"ReferenceMap$KeyIterator",1,0.00,1.00,3,0.02,127.59,1,0,18,1,0,136.39,0,5,2.00,1.00,1,0.50,0,1,0,0,2,0,0.00,0.00,org.apache.commons.collections.EntryIterator,136.39,0,0,0,47.86,1,16,0.00,1,1,0,1,0
"ReferenceMap$SoftRef",2,1.00,1.00,7,0.04,445.00,3,1,18,2,0,178.96,3,10,0.00,2.00,1,0.50,0,1,1,0,2,3,0.50,0.00,java.lang.ref.SoftReference,131.99,0,0,0,125.70,0,36,0.00,2,1,0,2,0
"ReferenceMap$ValueIterator",1,0.00,1.00,3,0.02,127.59,1,0,18,1,0,136.39,0,5,2.00,1.00,1,0.50,0,1,0,0,2,0,0.00,0.00,org.apache.commons.collections.EntryIterator,136.39,0,0,0,47.86,1,16,0.00,1,1,0,1,0
"ReferenceMap$WeakRef",2,1.00,1.00,7,0.04,445.00,3,1,18,2,0,131.99,0,10,0.00,2.00,1,0.50,0,1,1,0,2,0,0.50,0.00,java.lang.ref.WeakReference,131.99,0,0,0,125.70,0,36,0.00,2,1,0,2,0
"ReverseComparator",3,1.00,1.33,10,0.07,1286.61,4,1,2,3,2,81.31,25,16,3.00,4.00,2,0.00,0,0,2,1,1,3,0.33,0.00,java.lang.Object,130.46,0,1,0,221.86,1,62,0.00,4,1,1,1,0
"SequencedHashMap",40,0.03,1.75,183,2.50,87123.62,48,8,16,40,6,69.69,357,231,16.00,142.00,6,0.00,1,0,10,0,1,130,0.10,1.00,java.lang.Object,119.68,0,1,0,7511.91,2,1641,0.00,70,30,6,1,14
"SequencedHashMap$AbstractCollection",6,0.00,1.83,28,0.24,8601.30,6,0,16,6,1,170.28,5,33,12.00,14.00,6,0.00,0,0,1,1,1,5,0.00,0.00,java.lang.Object,120.77,0,0,0,725.39,2,169,0.00,11,5,0,1,3
