Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, LCOM2, MAXCC, R-R, NSUB, NSUP, NCO, FOUT, DIT, CCOM, COH, S-R, Superclass, MINC, EXT, INTR, MPC, HVOL, HIER, HLTH, SIX, TCC, NQU, F-IN, MOD, LMC
"AbstractMapIteratorDecorator",8,0.14,1.12,21,0.12,1772.30,9,1,1,8,1,157.25,24,31,4.00,0.00,2,0.00,0,0,2,1,1,5,0.88,0.00,java.lang.Object,136.64,0,1,0,370.67,0,110,0.00,9,6,0,1,0
"AbstractOrderedBidiMapDecorator",8,0.00,1.00,17,0.11,1330.09,8,0,2,8,6,148.81,29,27,5.00,14.00,1,0.29,4,2,1,3,3,4,0.00,1.33,org.apache.commons.collections.bidimap.AbstractBidiMapDecorator,141.07,0,1,0,327.32,0,104,0.00,8,7,3,2,1
"AbstractOrderedMapDecorator",9,0.00,1.00,19,0.12,1366.28,9,0,3,9,5,148.38,33,30,5.00,16.00,1,0.33,1,1,2,4,2,5,0.00,0.50,org.apache.commons.collections.map.AbstractMapDecorator,141.49,0,1,0,345.42,0,111,0.00,9,7,1,2,1
"AbstractOrderedMapIteratorDecorator",10,0.11,1.10,25,0.15,2051.25,11,1,1,10,1,170.36,24,37,5.00,0.00,2,0.00,0,0,2,1,1,5,0.90,0.00,java.lang.Object,137.70,0,1,0,440.40,0,132,0.00,11,8,0,1,0
"AbstractReferenceMap",29,0.08,1.66,142,1.28,31949.89,36,7,17,29,10,71.44,278,192,16.00,290.00,4,0.40,2,2,11,3,3,44,0.06,0.67,org.apache.commons.collections.map.AbstractHashedMap,120.93,0,0,0,3854.39,9,889,0.42,48,18,7,2,8
"AbstractReferenceMap$ReferenceEntry",9,0.25,2.00,53,0.60,17997.68,10,1,17,9,1,66.67,75,68,10.00,0.00,5,0.50,0,1,1,1,2,17,0.78,0.00,org.apache.commons.collections.map.HashEntry,115.82,0,0,0,1795.03,0,399,0.00,18,8,0,2,3
"AbstractReferenceMap$ReferenceEntrySet",3,0.00,1.33,12,0.12,2945.56,3,0,17,3,2,169.61,5,17,10.00,3.00,2,0.50,0,1,1,2,2,3,0.00,0.00,org.apache.commons.collections.EntrySet,124.67,0,0,0,372.43,1,90,0.00,4,2,0,1,1
"AbstractReferenceMap$ReferenceEntrySetIterator",8,0.27,1.88,62,0.48,11899.51,17,9,17,8,1,160.62,11,78,5.00,2.00,5,0.00,0,0,3,1,1,8,0.35,0.00,java.lang.Object,112.41,0,1,0,1438.10,0,317,0.00,15,5,0,1,4
"AbstractReferenceMap$ReferenceKeySet",3,0.00,1.33,13,0.10,2073.65,3,0,17,3,1,169.51,5,15,7.00,3.00,2,0.50,0,1,1,1,2,3,0.00,0.00,org.apache.commons.collections.KeySet,124.58,0,0,0,313.76,1,78,0.00,4,2,0,1,1
"AbstractReferenceMap$ReferenceKeySetIterator",2,0.00,1.00,5,0.02,174.96,2,0,17,2,1,187.60,3,8,2.00,2.00,1,0.50,0,1,1,1,2,1,0.00,0.00,org.apache.commons.collections.map.ReferenceEntrySetIterator,140.63,0,0,0,73.13,1,25,0.00,2,1,0,1,0
