Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"AbstractPatriciaTrie$PrefixRangeMap",14,0.10,1.64,74,0.97,51572.64,21,7,16,14,1,158.83,25,111,18.00
"AbstractPatriciaTrie$RangeEntryMap",10,0.00,1.80,50,0.59,27387.85,14,4,16,10,0,165.43,14,81,10.00
"AbstractPatriciaTrie$RangeEntrySet",6,0.07,2.67,52,0.71,30228.43,9,3,16,6,1,156.25,6,74,14.00
"AbstractPatriciaTrie$RangeEntrySet$EntryIterator",3,0.00,1.33,11,0.15,3477.69,4,1,16,3,0,165.40,6,17,4.00
"AbstractPatriciaTrie$RangeMap",19,1.00,1.58,66,0.86,21162.42,20,1,16,19,1,169.68,34,98,16.00
"AbstractPatriciaTrie$Reference",2,1.00,1.00,6,0.03,365.82,3,1,16,2,0,145.45,7,9,2.00
"AbstractPatriciaTrie$TrieEntry",5,0.25,2.80,51,0.83,77776.27,11,6,16,5,0,99.96,20,76,24.00
"AbstractPatriciaTrie$TrieIterator",6,0.13,1.67,30,0.32,8589.44,9,3,16,6,1,147.11,16,41,10.00
"AbstractPatriciaTrie$TrieMapIterator",8,0.71,1.62,34,0.31,8627.50,9,1,16,8,2,164.28,3,49,8.00
"AbstractPatriciaTrie$Values",5,0.00,1.40,19,0.17,3443.82,5,0,16,5,1,173.57,3,29,5.00
"AbstractPatriciaTrie$Values$ValueIterator",1,0.00,1.00,3,0.02,158.89,1,0,16,1,0,156.25,3,5,2.00
"AbstractPredicateTest",5,0.17,1.00,16,0.17,2804.44,8,3,4,5,5,177.15,3,23,7.00
"AbstractPropertiesFactory",10,0.00,1.10,30,0.31,6896.63,10,0,12,10,3,81.08,85,46,8.00
